user_id,wallet,bank,fines,coins,diamonds,paypal,t1,t2,t3,t4
1015,245300,2426734,0,0,0,0,0,0,0,0
1016,0,2297216,0,0,0,0,1,0,0,0
1017,0,1331610,0,0,0,0,1,0,0,0
1018,0,5642271,0,0,0,0,0,0,0,0
1019,0,7570939,0,0,0,0,0,0,3,0
1021,0,6300,0,0,0,0,0,0,0,0
1022,0,790960,0,0,0,0,0,0,0,0
1023,0,51000,0,0,0,0,0,0,0,0
1024,0,7280,0,0,0,0,0,0,0,0
1025,600,654810,0,0,0,0,0,0,0,0
1026,0,1513100,0,0,0,0,0,0,3,0
1027,5000,10000,0,0,0,0,0,0,0,0
1028,0,59446,0,0,0,0,0,0,0,0
1030,0,6104388,0,0,0,0,0,0,0,0
1031,0,43900,0,0,0,0,0,0,0,0
1032,5000,10000,0,0,0,0,0,0,0,0
1033,0,134421,0,0,0,0,0,0,0,0
1035,4400,10000,0,0,0,0,0,0,0,0
1036,0,1246252,0,0,0,600000,1,1,0,0
1037,1466,219414,0,0,0,47000000,0,1,0,0
1038,0,24622495,0,0,0,1800000,0,0,0,0
1039,5000,60000,0,0,0,0,0,0,0,0
1040,0,1652774,0,0,0,0,0,0,0,0
1042,0,76933,0,0,0,0,0,0,0,0
1043,0,261834,0,0,0,0,0,0,0,0
1044,0,94549,0,0,0,0,0,0,0,0
1046,0,1781857,0,0,0,7000000,0,0,0,0
1047,0,100001,0,0,0,0,1,0,0,0
1048,5000,10000,0,0,0,0,0,0,0,0
1049,0,3999,0,0,0,0,0,0,0,0
1050,200,128340,0,0,0,315040,0,0,0,0
1051,0,8712620,0,0,0,0,0,0,0,0
1052,0,3291406,0,0,0,0,0,0,0,0
1053,0,2007413,0,0,0,0,0,0,0,0
1054,0,1813590,0,0,0,0,0,0,0,0
1055,5000,10000,0,0,0,0,0,0,0,0
1056,0,423738,0,0,0,0,0,0,0,0
1057,0,411467,0,0,0,0,0,0,0,0
1058,16144,1551767,0,0,0,0,0,0,0,0
1059,0,3854032,0,0,0,0,0,0,0,0
1060,0,3888623,0,0,0,0,0,0,0,0
1061,0,46774,0,0,0,0,0,0,0,0
1062,0,2601248,0,0,0,0,0,0,0,0
1063,2800,10000,0,0,0,0,0,0,0,0
1064,0,90797,0,0,0,0,0,0,0,0
1065,5000,60000,0,0,0,0,0,0,0,0
1066,0,38263,0,0,0,0,0,0,0,0
1067,0,79082,0,0,0,0,0,0,0,0
1068,0,5643395,0,0,0,0,0,0,0,0
1069,0,2410208,0,0,0,0,0,0,0,0
1070,0,45708,0,0,0,0,0,0,0,0
1071,5000,10000,0,0,0,0,0,0,0,0
1072,5000,10000,0,0,0,0,0,0,0,0
1073,0,1175132,0,0,0,0,0,1,0,0
1075,0,118195,0,0,0,0,0,0,0,0
1076,0,3107278,0,0,0,0,1,0,0,0
1077,0,1763132,0,0,0,0,0,0,0,0
1078,0,5700,0,0,0,0,0,0,0,0
1079,3200,60000,0,0,0,0,0,0,0,0
1080,0,497638,0,0,0,0,0,0,0,0
1081,4200,10000,0,0,0,0,0,0,0,0
1082,0,63299,0,0,0,0,0,0,0,0
1083,0,106200,0,0,0,0,0,0,0,0
1084,5000,0,0,0,0,0,0,0,0,0
1085,400,2000,0,0,0,0,0,0,0,0
1086,0,2099937,0,0,0,0,0,1,0,0
1087,0,256550,0,0,0,0,0,0,0,0
1088,0,6993508,0,0,0,0,0,0,0,0
1089,0,11629868,0,0,0,0,0,0,0,0
1090,0,180524,0,0,0,0,0,0,0,0
1092,0,8400,0,0,0,0,0,0,0,0
1093,0,440,0,0,0,0,0,0,0,0
1094,0,59964,0,0,0,200000,0,0,0,0
1095,0,4851947,0,0,0,0,3,1,0,0
1096,0,47300,0,0,0,0,0,0,0,0
1099,0,195510,0,0,0,0,0,0,0,0
1100,5000,10000,0,0,0,0,0,0,0,0
1101,0,242170,0,0,0,0,0,0,0,0
1102,0,9200,0,0,0,0,0,0,0,0
1103,0,44200,0,0,0,0,0,0,0,0
1104,4200,10000,0,0,0,0,0,0,0,0
1105,5000,10000,0,0,0,0,0,0,0,0
1106,0,3351689,0,0,0,0,0,0,0,0
1107,0,5257077,0,0,0,0,1,0,0,0
1108,0,5018283,0,0,0,0,0,1,0,0
1109,0,8900,0,0,0,0,0,0,0,0
1110,1212,11888,0,0,0,0,0,0,0,0
1111,1900,10000,0,0,0,0,0,0,0,0
1113,0,10582523,0,0,0,0,0,0,0,0
1114,0,17497817,0,0,0,124053000,0,0,0,0
1115,0,735175,0,0,0,0,1,0,0,0
1117,5000,10000,0,0,0,0,0,0,0,0
1118,0,2108678,0,0,0,0,1,0,0,0
1119,0,203626,0,0,0,0,0,0,0,0
1120,0,199924,0,0,0,0,0,0,0,0
1121,0,179442,0,0,0,0,0,0,0,0
1122,0,75999,0,0,0,0,0,0,0,0
1123,0,621210,0,0,0,0,0,0,0,0
1124,3600,10000,0,0,0,0,0,0,0,0
1125,0,665,0,0,0,0,0,0,0,0
1126,0,8300,0,0,0,0,0,0,0,0
1127,0,1163732,0,0,0,324,1,1,0,0
1128,136,425825,0,0,0,0,0,0,0,0
1129,0,2382850,0,0,0,0,0,1,0,0
1130,0,4852966,0,0,0,0,0,0,0,0
1131,0,33662,0,0,0,0,0,0,0,0
1132,0,3095000,0,0,0,0,0,0,0,0
1133,0,10993139,0,0,0,0,0,0,0,0
1135,0,100,0,0,0,0,0,0,0,0
1136,0,169700,0,0,0,0,0,0,0,0
1137,0,1282373,0,0,0,0,0,0,0,0
1138,0,3653788,0,0,0,0,0,0,0,0
1139,0,104275,0,0,0,70000,0,0,0,0
1140,4400,10000,0,0,0,0,0,0,0,0
1141,0,35600,0,0,0,0,0,0,0,0
1142,0,30800,0,0,0,0,0,0,0,0
1143,0,8221,0,0,0,1000,0,0,0,0
1144,0,25199,0,0,0,0,0,0,0,0
1145,0,19750,0,0,0,0,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,0
1147,3600,10000,0,0,0,0,0,0,0,0
1148,0,1138887,0,0,0,0,0,0,1,0
1150,0,9500331,0,0,0,0,0,0,0,0
1151,0,211930,0,0,0,0,0,0,0,0
1152,4400,10000,0,0,0,0,0,0,0,0
1153,5000,10000,0,0,0,0,0,0,0,0
1154,0,4974684,0,0,0,0,0,0,0,0
