user_id,wallet,bank,paypal
1127,0,1163732,324
1128,136,425825,0
1129,0,2382850,0
1130,0,4852966,0
1131,0,33662,0
1132,0,3095000,0
1133,0,10993139,0
1135,0,100,0
1136,0,169700,0
1137,0,1282373,0
1138,0,3653788,0
1139,0,104275,70000
1141,0,35600,0
1142,0,30800,0
1143,0,8221,1000
1144,0,25199,0
1145,0,19750,0
1146,0,0,0
1148,0,1138887,0
1150,0,9500331,0
1151,0,211930,0
1154,0,4974684,0
1156,0,1331386,0
1158,0,180565,0
1159,0,4690,0
1161,0,6500,0
1162,0,70775,0
1163,0,234616,0
1165,0,14700,0
1167,0,1400,0
1168,0,4500,0
1169,0,47100,0
1170,0,1190400,0
1171,0,8300,0
1172,0,136190,0
1173,0,0,0
1174,1000,35550,0
1177,0,60200,0
1179,1000,31500,240000
1180,400,40000,0
1181,0,600,0
1182,0,6200,0
1183,0,1533760,0
1184,0,632966,0
1186,0,290500,0
1190,0,61310,0
1191,0,72595,0
1193,0,16520,0
1195,0,1040239,0
1196,0,212022,0
1197,3700,3396000,0
1198,0,66744,0
1200,5000,0,150000
1201,0,3500,0
1202,0,30000,0
1203,0,45030,0
1204,3000,59000,0
1205,0,1600,0
1206,0,559185,0
1207,0,37070,0
1208,0,1315966,0
1211,0,54200,0
1212,0,258925,0
1213,0,383545,0
1214,0,0,3672562
1215,0,410574,0
1216,0,4500,0
1217,900,4006935,0
1218,0,414685,38846518
1219,0,55210,0
1220,0,756181,0
1222,0,583398,0
1223,4200,9990,0
1224,0,51079,0
1228,0,4642548,0
1229,500,69310,0
1231,270000,14846209,0
1232,0,29500,0
1234,200,7200,0
1237,0,38398,0
1238,0,98798,0
1239,0,3800,0
1240,0,159468,0
1241,0,5800,0
1243,0,795545,0
1246,0,19500,0
1247,0,4338,0
1249,0,994768,0
1251,0,1673131,0
1252,5000,5000,0
1254,0,6000,0
1255,0,3531886,0
1257,3200,0,0
1258,0,19965,0
1260,0,7199,0
1261,0,400,0
1262,0,838821,0
1263,1500,61310,0
1264,3900,9000,0
1265,0,192248,0
1266,154,5000,0
1268,0,380500,0
1270,0,118791,0
1271,0,2982760,0
1273,4000,9999,0
1274,0,38220,0
1275,0,56393,0
1277,0,200,0
1278,0,975,0
1279,0,13950,0
1283,0,10435,0
1285,0,238502,0
1287,0,47720,0
1288,4468,5554,0
1289,0,41400,0
1293,0,24620012,0
1294,0,9500,0
1296,0,4208180,0
1298,0,1043487,90000
1299,4800,60000,0
1301,0,29400,0
1302,0,15900,0
1303,0,2950,0
1304,0,19798,0
1306,0,2144,0
1307,0,646132,0
1308,0,515281,0
1309,0,1073400,0
1310,3500,0,0
1311,0,3553865,0
1312,0,1885615,0
1313,0,25223810,5000
1314,0,24100,0
1315,0,7800,0
1316,0,7400,0
1317,5000,9000,0
1318,0,11000,0
1320,0,17357480,0
1321,0,115962,0
1322,0,109138,0
1324,0,119590,0
1328,0,177880,0
1330,0,7299,0
1331,5000,9998,0
1332,0,57200,0
1337,5000,144000,0
1338,0,9400,0
1342,3600,0,0
1344,0,6873063,0
1346,0,447372,0
1347,0,84550,1
1348,0,758351,0
